name,rating,users_count,tags,link
Castle,2300,7,"dp, greedy, probabilities, sortings, trees",https://codeforces.com/problemset/problem/101/D
Superset,2300,14,"constructive algorithms, divide and conquer",https://codeforces.com/problemset/problem/97/B
Widget Library,2300,8,"dp, expression parsing, graphs, implementation",https://codeforces.com/problemset/problem/89/B
Chip Play,2300,9,"brute force, data structures, implementation",https://codeforces.com/problemset/problem/89/C
Beautiful Road,2300,17,"dfs and similar, dp, dsu, graphs, implementation, sortings, trees",https://codeforces.com/problemset/problem/87/D
Sum of Medians,2300,53,"binary search, brute force, data structures, implementation",https://codeforces.com/problemset/problem/85/D
Domino Carpet,2300,2,"dp, implementation",https://codeforces.com/problemset/problem/77/D
Tourist,2300,14,"binary search, data structures, dp",https://codeforces.com/problemset/problem/76/F
Inquisition,2300,3,"geometry, implementation, sortings",https://codeforces.com/problemset/problem/62/C
Wormhouse,2300,4,"dfs and similar, graphs",https://codeforces.com/problemset/problem/62/D
Square Equation Roots,2300,6,math,https://codeforces.com/problemset/problem/50/E
Hercule Poirot Problem,2300,3,"dsu, graphs",https://codeforces.com/problemset/problem/46/F
Strange town,2300,3,"constructive algorithms, math",https://codeforces.com/problemset/problem/42/D
Toys,2300,1,"brute force, combinatorics",https://codeforces.com/problemset/problem/44/I
Berland Square,2300,6,"implementation, math",https://codeforces.com/problemset/problem/40/C
Queue,2300,7,data structures,https://codeforces.com/problemset/problem/38/G
Lesson Timetable,2300,3,"combinatorics, dp, math",https://codeforces.com/problemset/problem/37/D
Berland collider,2300,13,binary search,https://codeforces.com/problemset/problem/24/E
Almost Triple Deletions,2300,19,"data structures, dp, greedy",https://codeforces.com/problemset/problem/1699/D
PermutationForces II,2300,15,"brute force, combinatorics, greedy, sortings, trees, two pointers",https://codeforces.com/problemset/problem/1698/E
Tree Queries (Hard Version),2300,25,"constructive algorithms, dfs and similar, dp, greedy, trees",https://codeforces.com/problemset/problem/1695/D2
